,metaboliteID,microbeID,edgeType,pvalue
0,2003,134,3,0
1,2004,157,3,0
2,2004,134,3,0
3,2007,964,2,0
4,2008,76,2,0
5,2010,157,2,0
6,2011,309,3,0
7,2011,157,3,0
8,2011,149,3,0
9,2011,75,2,0
10,2012,309,3,0
11,2014,1065,3,0
12,2014,1064,3,0
13,2014,1054,3,0
14,2014,1052,3,0
15,2014,969,3,0
16,2014,968,3,0
17,2014,966,3,0
18,2014,965,3,0
19,2014,964,3,0
20,2014,953,2,0
21,2014,952,2,0
22,2014,895,3,0
23,2014,880,3,0
24,2014,878,3,0
25,2014,870,3,0
26,2014,814,3,0
27,2014,813,3,0
28,2014,796,3,0
29,2014,608,3,0
30,2014,551,3,0
31,2014,464,2,0
32,2014,461,2,0
33,2014,460,2,0
34,2014,457,2,0
35,2014,456,2,0
36,2014,455,2,0
37,2014,454,2,0
38,2014,420,3,0
39,2014,401,2,0
40,2014,339,2,0
41,2014,338,3,0
42,2014,326,3,0
43,2014,323,3,0
44,2014,314,3,0
45,2014,309,3,0
46,2014,260,3,0
47,2014,159,3,0
48,2014,158,3,0
49,2014,157,3,0
50,2014,153,3,0
51,2014,152,3,0
52,2014,151,3,0
53,2014,149,3,0
54,2014,137,3,0
55,2014,135,3,0
56,2014,134,3,0
57,2014,133,3,0
58,2014,131,3,0
59,2014,129,3,0
60,2014,126,3,0
61,2014,125,3,0
62,2014,124,3,0
63,2014,123,3,0
64,2014,122,3,0
65,2014,121,3,0
66,2014,119,3,0
67,2014,76,3,0
68,2014,75,2,0
69,2014,9,3,0
70,2016,326,3,0
71,2016,323,3,0
72,2016,314,3,0
73,2016,309,3,0
74,2019,1007,2,0
75,2019,964,2,0
76,2019,812,2,0
77,2019,157,3,0
78,2019,153,3,0
79,2019,152,3,0
80,2019,134,2,0
81,2019,126,2,0
82,2019,124,2,0
83,2034,964,2,0
84,2034,126,2,0
85,2035,1064,2,0
86,2035,964,2,0
87,2035,157,3,0
88,2035,152,3,0
89,2035,149,3,0
90,2036,159,2,0
91,2037,157,3,0
92,2037,134,3,0
93,2037,129,3,0
94,2038,953,3,0
95,2038,952,3,0
96,2038,796,3,0
97,2038,484,3,0
98,2038,464,3,0
99,2038,461,3,0
100,2038,460,3,0
101,2038,457,3,0
102,2038,456,3,0
103,2038,455,3,0
104,2038,454,3,0
105,2038,401,2,0
106,2038,339,3,0
107,2038,338,3,0
108,2038,326,3,0
109,2038,323,3,0
110,2038,314,3,0
111,2038,309,3,0
112,2038,260,3,0
113,2038,157,3,0
114,2038,137,3,0
115,2038,135,3,0
116,2038,134,3,0
117,2038,133,3,0
118,2038,131,3,0
119,2038,129,3,0
120,2038,126,3,0
121,2038,125,3,0
122,2038,124,3,0
123,2038,123,3,0
124,2038,122,3,0
125,2038,121,3,0
126,2038,119,3,0
127,2038,76,3,0
128,2038,75,3,0
129,2038,9,3,0
130,2043,968,2,0
131,2043,965,2,0
132,2043,952,2,0
133,2043,870,2,0
134,2043,812,2,0
135,2043,551,2,0
136,2043,460,2,0
137,2043,457,2,0
138,2043,339,2,0
139,2043,329,2,0
140,2043,260,2,0
141,2043,153,2,0
142,2043,149,2,0
143,2043,137,2,0
144,2043,135,2,0
145,2043,134,2,0
146,2043,129,2,0
147,2043,76,2,0
148,2044,153,2,0
149,2046,323,2,0
150,2046,314,2,0
151,2046,157,3,0
152,2046,153,3,0
153,2046,152,3,0
154,2046,151,3,0
155,2046,149,3,0
156,2046,134,2,0
157,2046,126,2,0
158,2049,323,2,0
159,2049,314,2,0
160,2049,157,3,0
161,2049,153,3,0
162,2049,152,3,0
163,2049,151,3,0
164,2049,149,3,0
165,2049,134,2,0
166,2049,126,2,0
167,2052,9,2,0
168,2053,9,2,0
169,2055,1065,3,0
170,2055,1064,3,0
171,2055,1054,3,0
172,2055,1052,3,0
173,2055,965,2,0
174,2055,952,3,0
175,2055,804,3,0
176,2055,464,3,0
177,2055,461,3,0
178,2055,460,3,0
179,2055,457,2,0
180,2055,456,3,0
181,2055,455,3,0
182,2055,454,3,0
183,2055,420,3,0
184,2055,401,2,0
185,2055,339,3,0
186,2055,326,3,0
187,2055,323,3,0
188,2055,314,3,0
189,2055,309,3,0
190,2055,137,2,0
191,2055,135,2,0
192,2055,134,2,0
193,2055,133,2,0
194,2055,131,2,0
195,2055,129,2,0
196,2055,126,2,0
197,2055,125,2,0
198,2055,124,2,0
199,2055,123,2,0
200,2055,122,2,0
201,2055,121,2,0
202,2055,119,2,0
203,2055,75,3,0
204,2055,9,3,0
205,2060,968,2,0
206,2060,952,2,0
207,2060,870,2,0
208,2060,796,2,0
209,2060,551,2,0
210,2060,457,2,0
211,2060,338,2,0
212,2060,137,2,0
213,2060,134,2,0
214,2060,129,2,0
215,2061,1064,2,0
216,2061,964,2,0
217,2061,952,2,0
218,2061,796,2,0
219,2061,551,2,0
220,2061,464,2,0
221,2061,460,2,0
222,2061,420,2,0
223,2061,339,2,0
224,2061,338,2,0
225,2061,309,2,0
226,2061,260,2,0
227,2061,158,2,0
228,2061,157,2,0
229,2061,153,2,0
230,2061,152,2,0
231,2061,151,2,0
232,2061,149,2,0
233,2061,137,2,0
234,2061,135,2,0
235,2061,134,2,0
236,2061,133,2,0
237,2061,131,2,0
238,2061,129,2,0
239,2061,126,2,0
240,2061,125,2,0
241,2061,124,2,0
242,2061,123,2,0
243,2061,122,2,0
244,2061,121,2,0
245,2061,119,2,0
246,2061,76,2,0
247,2061,75,2,0
248,2063,157,2,0
249,2063,153,2,0
250,2063,151,2,0
251,2064,969,2,0
252,2064,796,2,0
253,2064,420,2,0
254,2064,338,2,0
255,2064,260,2,0
256,2064,158,2,0
257,2064,157,2,0
258,2064,153,2,0
259,2064,152,2,0
260,2064,151,2,0
261,2064,149,2,0
262,2064,137,2,0
263,2064,134,2,0
264,2064,129,2,0
265,2064,124,2,0
266,2064,76,2,0
267,2065,134,2,0
268,2065,129,2,0
269,2065,126,2,0
270,2065,124,2,0
271,2067,329,2,0
272,2067,158,2,0
273,2067,157,2,0
274,2067,153,2,0
275,2067,152,2,0
276,2067,151,2,0
277,2067,134,2,0
278,2067,129,2,0
279,2067,126,2,0
280,2067,124,2,0
281,2068,968,2,0
282,2068,952,2,0
283,2068,870,2,0
284,2068,814,2,0
285,2068,812,2,0
286,2068,796,2,0
287,2068,551,2,0
288,2068,513,2,0
289,2068,512,2,0
290,2068,464,2,0
291,2068,460,2,0
292,2068,457,2,0
293,2068,456,2,0
294,2068,455,2,0
295,2068,420,2,0
296,2068,401,2,0
297,2068,339,2,0
298,2068,338,2,0
299,2068,329,2,0
300,2068,309,2,0
301,2068,260,2,0
302,2068,161,2,0
303,2068,157,2,0
304,2068,153,2,0
305,2068,152,2,0
306,2068,151,2,0
307,2068,149,2,0
308,2068,137,2,0
309,2068,134,2,0
310,2068,129,2,0
311,2068,126,2,0
312,2068,76,2,0
313,2068,75,2,0
314,2069,157,2,0
315,2069,134,2,0
316,2069,129,2,0
317,2069,126,2,0
318,2069,124,2,0
319,2070,134,2,0
320,2071,1065,2,0
321,2071,1064,2,0
322,2071,1054,2,0
323,2071,1052,2,0
324,2071,551,2,0
325,2071,309,2,0
326,2071,152,2,0
327,2071,137,2,0
328,2072,968,2,0
329,2072,814,2,0
330,2072,812,2,0
331,2072,796,2,0
332,2072,551,2,0
333,2072,339,2,0
334,2072,329,2,0
335,2072,260,2,0
336,2072,137,2,0
337,2072,134,2,0
338,2072,129,2,0
339,2072,76,2,0
340,2072,55,2,0
341,2073,969,2,0
342,2073,968,2,0
343,2073,966,2,0
344,2073,965,2,0
345,2073,964,2,0
346,2073,158,2,0
347,2073,157,2,0
348,2073,153,2,0
349,2073,152,2,0
350,2073,151,2,0
351,2073,149,2,0
352,2073,137,2,0
353,2073,135,2,0
354,2073,134,2,0
355,2073,129,2,0
356,2074,551,2,0
357,2074,329,2,0
358,2074,153,2,0
359,2074,134,2,0
360,2074,129,2,0
361,2075,1007,2,0
362,2075,551,2,0
363,2075,309,2,0
364,2075,137,2,0
365,2078,76,2,0
366,2079,968,2,0
367,2079,952,2,0
368,2079,870,2,0
369,2079,814,2,0
370,2079,812,2,0
371,2079,551,2,0
372,2079,338,2,0
373,2079,157,2,0
374,2079,137,2,0
375,2079,134,2,0
376,2079,129,2,0
377,2081,323,3,0
378,2081,314,3,0
379,2081,159,3,0
380,2081,157,3,0
381,2081,153,3,0
382,2081,152,3,0
383,2081,151,3,0
384,2081,149,3,0
385,2081,134,3,0
386,2081,126,3,0
387,2082,964,2,0
388,2082,326,2,0
389,2082,323,2,0
390,2082,314,2,0
391,2082,309,2,0
392,2082,158,2,0
393,2082,157,2,0
394,2082,153,2,0
395,2082,149,2,0
396,2082,134,2,0
397,2082,133,2,0
398,2082,129,2,0
399,2082,126,2,0
400,2082,119,2,0
401,2082,76,2,0
402,2085,464,3,0
403,2085,157,3,0
404,2085,152,3,0
405,2085,149,3,0
406,2085,134,3,0
407,2085,129,3,0
408,2085,126,3,0
409,2088,551,2,0
410,2089,1065,3,0
411,2089,1064,3,0
412,2089,1054,3,0
413,2089,1052,3,0
414,2089,969,3,0
415,2089,964,3,0
416,2089,608,3,0
417,2089,460,3,0
418,2089,456,2,0
419,2089,420,3,0
420,2089,401,2,0
421,2089,339,3,0
422,2089,329,3,0
423,2089,326,3,0
424,2089,323,3,0
425,2089,314,3,0
426,2089,309,3,0
427,2089,159,2,0
428,2089,158,3,0
429,2089,157,3,0
430,2089,153,3,0
431,2089,152,3,0
432,2089,151,3,0
433,2089,149,3,0
434,2089,134,3,0
435,2091,608,2,0
436,2091,158,3,0
437,2091,157,3,0
438,2091,153,3,0
439,2091,152,3,0
440,2091,151,2,0
441,2091,149,3,0
442,2093,1007,3,0
443,2093,969,3,0
444,2093,968,3,0
445,2093,966,3,0
446,2093,965,3,0
447,2093,964,3,0
448,2093,953,3,0
449,2093,952,3,0
450,2093,804,3,0
451,2093,608,3,0
452,2093,464,3,0
453,2093,461,3,0
454,2093,460,3,0
455,2093,457,3,0
456,2093,456,3,0
457,2093,455,3,0
458,2093,454,3,0
459,2093,420,3,0
460,2093,401,2,0
461,2093,339,3,0
462,2093,329,3,0
463,2093,159,2,0
464,2093,158,3,0
465,2093,157,3,0
466,2093,153,3,0
467,2093,152,3,0
468,2093,151,3,0
469,2093,149,3,0
470,2093,134,3,0
471,2093,133,3,0
472,2093,119,3,0
473,2093,75,3,0
474,2094,964,2,0
475,2094,953,2,0
476,2094,952,2,0
477,2094,464,2,0
478,2094,457,2,0
479,2094,339,2,0
480,2094,338,2,0
481,2094,158,2,0
482,2094,157,2,0
483,2094,153,2,0
484,2094,152,2,0
485,2094,151,2,0
486,2094,149,2,0
487,2094,135,2,0
488,2094,134,2,0
489,2094,129,2,0
490,2094,126,2,0
491,2094,75,2,0
492,2098,401,2,0
493,2098,159,2,0
494,2098,137,2,0
495,2099,157,2,0
496,2099,153,2,0
497,2099,152,2,0
498,2099,151,2,0
499,2099,149,2,0
500,2099,126,2,0
501,2100,157,2,0
502,2100,153,2,0
503,2100,152,2,0
504,2100,151,2,0
505,2100,149,2,0
506,2100,126,2,0
507,2101,157,2,0
508,2101,153,2,0
509,2101,152,2,0
510,2101,151,2,0
511,2101,149,2,0
512,2101,126,2,0
513,2103,157,2,0
514,2103,153,2,0
515,2103,152,2,0
516,2103,151,2,0
517,2103,149,2,0
518,2107,969,3,0
519,2107,968,3,0
520,2107,966,3,0
521,2107,965,3,0
522,2107,964,3,0
523,2107,952,3,0
524,2107,796,3,0
525,2107,461,3,0
526,2107,460,3,0
527,2107,457,3,0
528,2107,456,2,0
529,2107,455,3,0
530,2107,454,3,0
531,2107,420,3,0
532,2107,401,2,0
533,2107,339,3,0
534,2107,329,3,0
535,2107,326,3,0
536,2107,323,3,0
537,2107,314,3,0
538,2107,309,3,0
539,2107,161,2,0
540,2107,159,2,0
541,2107,157,3,0
542,2107,137,3,0
543,2107,135,3,0
544,2107,134,3,0
545,2107,133,3,0
546,2107,131,3,0
547,2107,129,3,0
548,2107,126,3,0
549,2107,125,3,0
550,2107,124,3,0
551,2107,123,3,0
552,2107,122,3,0
553,2107,121,3,0
554,2107,119,3,0
555,2107,75,3,0
556,2107,54,3,0
557,2107,9,3,0
558,2108,1065,3,0
559,2108,1064,3,0
560,2108,1054,3,0
561,2108,1052,3,0
562,2109,796,3,0
563,2109,401,3,0
564,2109,159,3,0
565,2109,76,3,0
566,2109,9,3,0
567,2114,796,3,0
568,2114,401,2,0
569,2114,76,3,0
570,2114,55,3,0
571,2114,54,3,0
572,2116,76,2,0
573,2117,551,2,0
574,2118,159,2,0
575,2119,965,2,0
576,2119,964,2,0
577,2119,796,3,0
578,2119,260,3,0
579,2119,134,3,0
580,2119,75,3,0
581,2119,54,3,0
582,2120,157,2,0
583,2120,153,2,0
584,2120,149,2,0
585,2122,965,2,0
586,2122,964,2,0
587,2122,796,3,0
588,2122,134,3,0
589,2122,129,3,0
590,2122,75,3,0
591,2122,54,3,0
592,2125,457,3,0
593,2125,309,2,0
594,2127,1099,2,0
595,2127,1064,2,0
596,2127,309,2,0
597,2128,965,2,0
598,2129,1099,2,0
599,2129,1064,2,0
600,2129,457,2,0
601,2129,309,2,0
602,2131,964,2,0
603,2131,812,2,0
604,2131,134,2,0
605,2131,126,2,0
606,2132,968,2,0
607,2132,966,2,0
608,2132,953,2,0
609,2132,454,2,0
610,2132,158,2,0
611,2132,157,2,0
612,2132,153,2,0
613,2132,134,2,0
614,2132,129,2,0
615,2132,126,2,0
616,2133,1064,2,0
617,2133,457,3,0
618,2133,9,2,0
619,2134,457,2,0
620,2135,1064,2,0
621,2135,457,2,0
622,2135,309,2,0
623,2136,1064,2,0
624,2136,309,2,0
625,2140,1064,2,0
626,2140,309,2,0
627,2141,1065,3,0
628,2141,1064,3,0
629,2141,1054,3,0
630,2141,1052,3,0
631,2141,969,3,0
632,2141,968,3,0
633,2141,965,3,0
634,2141,964,3,0
635,2141,953,3,0
636,2141,952,2,0
637,2141,608,3,0
638,2141,551,3,0
639,2141,513,2,0
640,2141,512,2,0
641,2141,464,3,0
642,2141,461,3,0
643,2141,460,3,0
644,2141,457,3,0
645,2141,456,2,0
646,2141,455,2,0
647,2141,454,3,0
648,2141,420,3,0
649,2141,401,2,0
650,2141,339,3,0
651,2141,338,3,0
652,2141,329,3,0
653,2141,260,3,0
654,2141,161,3,0
655,2141,159,2,0
656,2141,158,3,0
657,2141,157,3,0
658,2141,153,3,0
659,2141,152,3,0
660,2141,151,3,0
661,2141,149,3,0
662,2141,134,3,0
663,2141,129,3,0
664,2141,126,2,0
665,2141,75,2,0
666,2142,1064,2,0
667,2142,309,2,0
668,2142,134,2,0
669,2143,1064,2,0
670,2143,796,2,0
671,2144,159,2,0
672,2144,76,2,0
673,2145,1064,2,0
674,2145,812,2,0
675,2145,309,2,0
676,2145,134,2,0
677,2145,126,2,0
678,2146,457,2,0
679,2147,1064,2,0
680,2147,309,2,0
681,2147,134,2,0
682,2148,309,2,0
683,2149,968,2,0
684,2149,870,2,0
685,2149,812,2,0
686,2149,551,2,0
687,2149,329,2,0
688,2149,137,2,0
689,2149,134,2,0
690,2149,129,2,0
691,2151,314,2,0
692,2151,309,2,0
693,2151,76,2,0
694,2153,309,2,0
695,2154,796,2,0
696,2154,309,2,0
697,2155,1064,2,0
698,2155,309,2,0
699,2155,134,2,0
700,2156,1064,2,0
701,2156,309,2,0
702,2156,134,2,0
703,2156,76,2,0
704,2157,1065,2,0
705,2157,1064,2,0
706,2157,1054,2,0
707,2157,1052,2,0
708,2157,870,2,0
709,2157,814,2,0
710,2157,812,2,0
711,2157,796,2,0
712,2157,457,2,0
713,2157,420,2,0
714,2157,339,2,0
715,2157,338,2,0
716,2157,329,2,0
717,2157,260,2,0
718,2157,161,2,0
719,2157,158,2,0
720,2157,157,2,0
721,2157,153,2,0
722,2157,152,2,0
723,2157,151,2,0
724,2157,149,2,0
725,2157,137,2,0
726,2158,953,2,0
727,2158,952,2,0
728,2158,158,3,0
729,2158,153,3,0
730,2159,323,3,0
731,2159,314,3,0
732,2159,157,3,0
733,2159,153,3,0
734,2159,152,3,0
735,2159,151,3,0
736,2159,149,3,0
737,2159,134,3,0
738,2159,126,3,0
739,2161,968,2,0
740,2161,964,2,0
741,2161,952,2,0
742,2161,870,2,0
743,2161,814,2,0
744,2161,457,2,0
745,2161,420,2,0
746,2161,401,2,0
747,2161,339,2,0
748,2161,338,2,0
749,2161,329,2,0
750,2161,260,2,0
751,2161,157,2,0
752,2161,149,2,0
753,2161,137,2,0
754,2161,76,2,0
755,2162,952,2,0
756,2162,551,2,0
757,2162,339,2,0
758,2162,137,2,0
759,2163,608,3,0
760,2163,513,2,0
761,2163,425,3,0
762,2163,157,2,0
